1997.34668144	2499.99171537	999.680368636
1999.46337064	2500.31540267	1000.42105072
1998.93439702	2499.11376033	999.524266507
2000.68968231	2500.56119218	998.69445149
1998.88052474	2500.73683739	1001.57463407
1999.96892491	2499.31655337	1001.0956297
1999.69042336	2500.72575222	1001.54907163
2000.63007982	2500.07349324	1000.73227135
1999.35742461	2499.82190682	999.426045441
1999.79562468	2499.5135049	999.814224676
1999.61946358	2500.08897764	1000.06367166
2000.29634711	2501.40277112	998.453137432
2001.29561858	2499.76274955	998.767653793
1999.82758023	2500.09183837	1001.06755846
1998.93836555	2500.21734821	1000.1178195
1998.31588911	2498.81424473	1000.60010201
2000.69556726	2501.08771086	1000.53382172
2000.39521201	2500.12286753	1001.20910164
1999.1569339	2499.85810642	1000.38535414
1998.42250569	2501.31094364	999.207134992
1999.92825059	2502.15667443	999.170562748
1999.47062797	2501.56170369	998.919806175
1999.56794238	2500.51608404	1000.45539286
2000.5936862	2500.37050633	1001.34537807
2001.01594215	2500.59527845	999.317198384
1999.28644007	2498.09171046	1000.68731235
1998.17699042	2500.8791138	1001.84636487
1998.9383456	2499.31551533	999.52378552
2000.83031043	2499.13664748	999.869458533
1999.47691237	2499.74872308	1001.29127473
1999.03579515	2500.07175977	1000.2716063
2000.85866717	2498.73592632	1001.11487028
2000.43477699	2500.87427277	1000.0716521
1998.36094837	2499.35269737	1000.81776957
2000.03679475	2499.95129746	1001.7915311
2002.20185631	2499.9629331	1001.93290543
1998.00642847	2497.95094274	1000.86705521
1999.73803893	2500.57897111	1000.51655239
1999.91059636	2500.68212971	1000.15072201
1998.46785748	2500.21886858	1000.18566325
2001.83277654	2498.8711056	1000.01699688
1999.57557118	2499.8670901	1001.65920462
2000.37864068	2499.53543394	1000.15384125
2000.76616062	2499.00597231	999.735657671
2001.54220922	2500.85615205	999.955197383
1999.52251077	2499.84593448	998.448920539
2000.94303598	2500.34115344	1000.13827322
1998.70257738	2499.28503756	1000.51447963
2000.25771638	2499.50326952	1000.50502192
500.938783125	699.324979725	399.46914176
499.130138056	698.844735775	400.796671847
500.510028022	700.338713936	398.827879965
498.954032345	699.932331436	399.586790247
501.799480074	701.546606095	401.609873985
500.07101978	700.921575231	399.623170157
500.919982543	699.621577446	399.511024565
499.355606183	700.699140837	400.275406658
500.186325341	698.860194348	400.141804891
498.559280646	701.476512824	399.868446517
500.194429202	699.894850747	398.416037421
498.628226314	699.971681662	401.492471499
498.884762784	699.294585974	399.952767425
498.312719393	698.302657885	399.588546058
499.954724857	699.608826867	401.53422235
499.835807053	700.360366653	401.598049901
501.703721823	698.410480106	399.622753483
501.16250551	698.621141293	399.07600432
498.70248661	698.638065772	398.86581463
500.176842752	701.268925515	401.528022877
500.011887983	698.029428113	399.943367415
499.660797585	700.352321122	399.871586888
498.203886904	700.413283446	397.932164563
499.309888786	700.311750714	400.350366567
501.571348006	697.637586407	400.339984209
500.689380345	699.672785863	400.638031524
498.898001369	700.65702758	400.538215247
499.018370346	699.333360187	399.810176064
499.343914647	701.044397082	400.175167466
